AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
5, 3, -2.14636, -2.22225, -1.82062, -1.57422, -1.09238, -0.788699, -0.722008, -0.0288608, 0.393996, 0.505222, 1.25899, 1.39252, 2.23982, 0.853528, 2.64529, 1.95214, 2.23982, 2.64529, 17.1539, 3.33844, 3.33844, 3.33844, 2.23982, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539, 17.1539
6, 1, -1.67453, -1.77906, -1.66623, -1.40414, -1.29758, -1.27729, -1.11284, -0.797405, -0.550809, -0.0705842, 0.0767406, 0.142338, 0.391234, 0.435686, 1.3295, 1.73497, 2.14043, 1.73497, 3.52673, 3.52673, 3.52673, 4.21988, 3.52673, 4.21988, 18.0354, 2.83358, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354, 18.0354
6, 2, -1.57867, -1.6408, -1.48464, -1.42665, -1.39634, -1.20164, -1.14393, -1.10352, -0.733503, -0.440833, -0.0841583, 0.76314, 0.526751, 0.426667, 0.698601, 1.52528, 1.1686, 2.37258, 3.47119, 17.2867, 1.67943, 2.77804, 17.2867, 17.2867, 3.47119, 3.47119, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867, 17.2867
6, 3, -1.2581, -1.26633, -1.24562, -1.20724, -1.2581, -1.18969, -1.14906, -1.07246, -0.825405, -0.724987, -0.496548, -0.432599, -0.199976, -0.199976, 0.170397, 0.359639, 0.593254, 0.972744, 1.2864, 1.92826, 2.6214, 1.92826, 2.43908, 3.53769, 4.23084, 4.23084, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464, 18.0464
7, 1, -1.68584, -1.74703, -1.62359, -1.55407, -1.37457, -1.22757, -0.980274, -0.739617, -0.570633, -0.181766, -0.194036, 0.475013, 0.601765, 0.731443, 1.09917, 1.57363, 1.60999, 2.07262, 2.70861, 2.95992, 2.82639, 3.80722, 4.90583, 4.90583, 4.21268, 18.7213, 18.7213, 18.7213, 4.90583, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213, 18.7213
7, 2, -1.79286, -1.60991, -1.4545, -1.38582, -1.44561, -1.13991, -0.982722, -0.668691, -0.511299, -0.687923, -0.192845, 0.0742173, 0.277158, 0.439677, 0.787984, 1.8866, 1.76881, 1.32698, 2.3566, 2.02013, 1.48113, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 3.96604, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815, 17.7815
7, 3, -1.49471, -1.29098, -1.25924, -1.16566, -1.24675, -1.11537, -1.03795, -0.873427, -0.967409, -0.597837, -0.507323, -0.303724, -0.250732, -0.0724833, 0.0668722, 0.357674, 0.596566, 0.750717, 1.37241, 1.44386, 1.84933, 2.17475, 2.66026, 3.35341, 3.13026, 3.64109, 18.5552, 4.7397, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552, 18.5552
8, 1, -2.68129, -2.29452, -1.90284, -1.46784, -0.644931, 0.0362401, 0.277402, 1.289, 1.20896, 3.77391, 2.38762, 3.08076, 3.77391, 3.08076, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894, 17.5894
8, 2, -2.84994, -2.38065, -1.66053, -1.09208, -0.192886, 0.17108, 0.517356, 1.1766, 1.93874, 1.80521, 1.48676, 2.27521, 3.88465, 3.1915, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002, 17.7002
8, 3, -2.04334, -2.16277, -1.93592, -1.67201, -1.38477, -1.03244, -0.628877, -0.14003, 0.387498, 0.907134, 1.47564, 2.13801, 2.92647, 4.53591, 4.94137, 5.63452, 5.63452, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45
9, 1, -1.39833, -1.52651, -1.6666, -1.534, -1.39833, -1.25128, -1.15795, -0.979964, -0.730503, -0.219677, 0.144966, -0.00345422, 0.368109, 0.319319, 0.798892, 1.2844, 1.7544, 2.67069, 1.7544, 17.1794, 17.1794, 1.7544, 3.36384, 3.36384, 17.1794, 3.36384, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794, 17.1794
9, 2, -1.51215, -1.83613, -1.77786, -1.69447, -1.35219, -1.26703, -1.07129, -0.792573, 0.0547249, -0.168419, 0.0139029, 0.747872, 1.15334, 2.13417, 1.15334, 1.62334, 2.13417, 2.53963, 1.62334, 3.23278, 2.53963, 2.13417, 2.13417, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483, 17.0483
