AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
16, 3, 0.231637, 0.140273, 0.00881413, -0.0811139, -0.166083, -0.109332, -0.253046, -0.244106, -0.190857, -0.0883245, -0.0859188, -0.0268181, 0.121542, 0.461182, 0.761906, 0.656811, 0.730016, 1.26477, 1.2834, 2.13563, 2.01003, 1.82524, 2.9194, 16.3354, 16.1435, 15.8156, 15.2745, 15.0556, 14.6712, 14.5899, 14.4244, 14.0387, 13.7312, 12.9102, 13.2204, 13.2204, 12.4583, 11.8986, 0.791171, 12.3041
17, 1, 0.138747, -0.00426732, -0.108861, -0.138389, -0.24123, -0.178507, -0.19994, 0.0362146, 0.100191, 0.305028, 0.776535, 0.84508, 1.02409, 1.09457, 0.888331, 1.42509, 1.88072, 1.93251, 2.55377, 16.762, 16.4541, 16.0461, 15.754, 0.152656, 15.1626, 14.8347, 14.2936, 14.0747, 13.6903, 13.609, 13.4434, 13.0578, 12.7503, 11.9293, 12.2395, 12.2395, 11.4773, 10.9177, -0.189751, 11.3232
17, 2, -0.101354, -0.101363, -0.0640889, -0.0626044, -0.101735, -0.0897223, 0.000688407, -0.0168879, 0.202256, 0.498472, 0.623376, 0.894569, 0.93192, 1.4046, 1.62316, 1.7257, 1.61702, 1.4377, 0.942, 1.65315, 1.63291, 0.714154, 0.932843, 1.63192, 15.2556, 14.9277, 14.3866, 14.1677, 13.7833, 13.7019, 13.5364, 13.1508, 12.8433, 12.0223, 12.3324, 12.3324, 11.5703, 11.0107, -0.0967765, 11.4162
17, 3, 0.331085, 0.304355, 0.17964, 0.0259377, -0.0924104, -0.232004, -0.329801, -0.308787, -0.439567, -0.389457, -0.295351, -0.299543, -0.296944, -0.477955, 0.0330551, 0.206908, 0.263307, 0.364285, 0.865589, 0.704898, 1.19549, 1.88617, 1.9995, 1.59997, 1.40813, 1.08022, 15.0478, 14.8289, 14.4445, 14.3631, 14.1976, 13.8119, 13.5045, 12.6835, 12.9936, 12.9936, 12.2315, 11.6719, 0.564412, 12.0773
18, 1, 0.232053, 0.173931, -0.144208, -0.364471, -0.118008, 0.129905, 0.0184739, 0.0610412, 0.00262246, 0.131972, 0.206368, 0.0837304, 0.245932, 0.717049, 0.734933, 0.14433, 0.0356489, -0.143674, -0.113279, -0.33369, -0.721652, -0.962529, -1.15936, -1.45353, -0.834429, -1.16234, -1.70347, -1.63466, -1.61361, 12.8137, -1.86047, -1.55298, -2.95908, -2.68145, -2.37129, -3.46991, 10.6821, 10.1225, -0.985002, -3.98072
18, 2, 0.486152, 0.372542, -0.0301843, -0.33579, -0.207144, -0.301123, 0.109597, 0.0281897, -0.205913, -0.0739509, 0.0974046, -0.300537, -0.123068, 0.0942686, -0.0208975, -0.0306826, -0.219407, -0.280947, -0.000610276, -0.406424, -0.809653, -1.21758, -1.19127, -0.89765, -0.801802, -1.41739, 13.2433, -2.1774, 12.64, -1.95001, -2.52099, 12.0075, 11.7, -2.9365, 11.1892, -2.62635, 10.427, 9.86742, -1.24006, 10.2729
18, 3, 0.79218, 0.671418, 0.429706, 0.212696, -0.163715, -0.298491, -0.49069, -0.388974, -0.565803, -0.553487, -0.780773, -0.507958, -0.393612, -0.345006, -0.390837, -0.338304, -0.633363, -0.714448, -0.976686, -1.34168, -1.58506, -1.88763, -1.71714, -1.99151, -2.18334, -2.44226, -2.29024, -2.76043, -3.14485, -3.42686, -3.59238, -3.77737, -3.83354, -3.80722, -4.00789, -4.00789, -4.2592, -4.41334, -1.01216, -4.41335
19, 1, 0.343404, 0.232302, 0.0602193, -0.0158086, -0.115488, -0.099799, -0.0723648, -0.290073, -0.257342, -0.373372, -0.403228, -0.350182, -0.227512, -0.13568, -0.166586, -0.0783096, -0.1392, -0.223213, 0.0695457, -0.00776389, -0.433466, -0.253611, -0.641057, -0.25213, -1.23242, -0.954193, -0.396711, -0.61559, -0.306855, -0.3882, 13.2618, -0.939376, -1.24686, 11.7477, 12.0578, 12.0578, 11.2957, 10.7361, -0.371394, 11.1415
19, 2, 0.297403, 0.241554, -0.0253738, -0.1224, -0.215265, -0.238898, -0.122831, -0.0927761, -0.136057, -0.11039, 0.0794336, 0.195509, 0.254526, 0.115188, -0.030696, 0.15941, -0.133164, -0.0523882, -0.0791519, -0.257003, -0.52047, -0.545409, 0.0787451, -1.36224, -0.330298, -1.24599, -1.53581, -1.60054, -1.2918, -0.274534, -0.440048, 12.9898, 12.6823, 11.8613, 12.1715, -1.64402, 11.4094, 10.8497, -0.257727, 11.2552
19, 3, 0.688482, 0.652253, 0.477369, 0.166273, -0.0132619, -0.14809, -0.225514, -0.555283, -0.618398, -0.690276, -0.700545, -0.707752, -0.77143, -0.786303, -0.829001, -0.896708, -0.905964, -1.09191, -1.2668, -1.32802, -1.42622, -1.50101, -1.46593, -1.68957, -1.45652, -2.20931, -1.79493, -1.79066, -1.48193, -2.12289, -2.53972, -2.11445, -1.72879, -2.95523, -2.23961, -1.54646, -3.00175, -3.56136, -0.160173, -2.46275
20, 1, -0.401553, -0.364625, -0.169945, -0.139165, 0.188415, 0.507675, 0.498281, 0.590839, 1.12439, 1.1154, 1.29517, 1.40918, 1.61612, 1.92225, 1.6764, 2.00494, 2.07572, 1.59037, 2.59463, 3.39278, 2.39172, 2.67693, 2.3848, 15.8008, 1.79343, 15.281, 14.7399, 14.521, 14.1366, 14.0553, 13.8898, 13.5041, 13.1966, 12.3756, 12.6858, 12.6858, 11.9237, 11.364, 0.256566, 11.7695
20, 2, -0.481677, -0.498159, -0.181048, 0.0999229, 0.433107, 0.575793, 0.700066, 0.823254, 0.981284, 1.13199, 1.03825, 1.58159, 1.70123, 1.73799, 1.81867, 2.18358, 2.18723, 1.41007, 1.92597, 1.62552, 1.60528, 2.29596, 2.00382, 1.60429, 2.10561, 1.7777, 1.23657, 14.8332, 14.4488, 14.3674, 14.2019, 13.8163, 13.5088, 12.6878, 12.998, 12.998, 12.2358, 11.6762, 0.568739, 12.0817
20, 3, -0.00961286, 0.0427584, -0.0167034, -0.051551, -0.0716276, -0.0627015, -0.0233061, -0.0646557, 0.0430159, 0.0846069, 0.165038, 0.165968, 0.179424, 0.285321, 0.237673, 0.155834, 0.243096, 0.0307335, 0.0572894, 0.726237, 0.736771, 0.798844, 0.170235, 1.02347, 0.831634, 1.19687, 0.655743, 14.2524, 13.868, 13.7866, 13.6211, 13.2354, 12.928, 12.107, 12.4171, 12.4171, 11.655, 11.0954, -0.0120865, 11.5008
