AA-Triplet, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
5592, -2.34455, -2.35815, -1.96611, -0.944462, -1.09861, -0.451985, 0.336472, 9.64286e-08, 0.154151, -0.133531, 0.559616, 1.94591, 15.7614, 15.7614, 1.25276, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614
5593, -2.3896, -2.3896, -1.87877, -0.374693, -1.29098, -0.374693, 14.134, -0.780158, 14.134, 14.134, 14.134, 0.318454, 14.134, -0.374693, 14.134, 14.134, 14.134, 0.318454, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134, 14.134
5594, -2.21129, -2.15067, -2.05223, -1.72946, -0.882158, -0.476692, -0.630843, -0.764374, 0.216455, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306, 15.1306
5595, -2.30258, -2.0748, -1.92452, -1.4491, -1.14681, -1.14681, 0.300105, -0.259511, 0.993252, 0.587787, 1.6864, 0.0769612, 1.6864, 1.6864, 1.6864, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019, 15.5019
5596, -2.02839, -2.16192, -2.02839, -1.33524, -1.18109, -0.688612, -0.688612, -0.236627, 0.322989, 0.322989, 1.01614, 15.5248, 1.01614, 1.01614, 15.5248, 0.610671, 15.5248, 1.70928, 1.01614, 15.5248, 15.5248, 15.5248, 1.70928, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248, 15.5248
5597, -2.36173, -1.88631, -1.86433, -1.55418, -1.27654, -0.696725, -0.360253, -0.542574, -0.542574, 0.84372, 1.94233, 1.94233, 15.7578, 15.7578, 1.94233, 15.7578, 1.94233, 15.7578, 15.7578, 1.94233, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578, 15.7578
5598, -3.06027, -2.1848, 0.117784, 0.117784, -1.26851, 13.9333, 0.117784, 0.117784, 13.9333, -0.575363, 0.117784, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333, 13.9333
5599, -2.45127, -2.24767, -1.29859, -1.58627, -0.759592, -1.21158, -1.11627, -0.199976, 1.18632, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 1.18632, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018, 15.0018
5600, -2.12228, -2.12228, -1.70872, -0.703197, -1.08619, -1.1732, -1.46088, -0.939586, 0.618558, 0.90624, 0.395415, 1.31171, 1.31171, 0.618558, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204, 15.8204
5601, -2.07114, -2.0066, -1.91351, -1.39861, -1.11771, -1.26799, -0.597837, -0.764891, -0.340008, 0.701446, 0.701446, 0.547295, 2.49321, 2.49321, 16.3087, 16.3087, 16.3087, 16.3087, 2.49321, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087, 16.3087
