AA-Triplet, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.50075, -2.23314, -1.99272, -1.12903, -0.727687, -0.567345, -0.117428, 0.140401, 0.232774, 0.575719, 1.26887, 1.26887, 2.97361, 1.875, 3.66676, 3.66676, 17.4823, 2.97361, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823
2, -2.57444, -2.05239, -1.70945, -1.49479, -0.843028, -0.728617, -0.843028, 0.202941, 0.976131, 0.465305, 1.66928, 1.66928, 1.66928, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834
3, -2.48361, -2.07163, -1.60554, -1.33848, -1.25332, -0.880643, -0.778861, -0.154706, 0.943906, 0.761584, 1.16705, 0.473902, 1.8602, 2.55334, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689
4, -2.10116, -2.17291, -1.79401, -1.36582, -1.13401, -1.08956, -0.349895, -0.637577, 0.209721, -0.301105, 1.08519, 0.615186, 1.08519, 1.59601, 16.5101, 2.69463, 2.69463, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101
5, -2.6401, -2.02699, -1.33385, -0.966123, -0.966123, -0.714808, -0.155193, 1.2311, 0.132489, -0.378336, 0.132489, -0.560658, 1.2311, 0.537954, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466
6, -2.56728, -2.11418, -1.61949, -1.26281, -0.597837, -0.885519, -1.0033, -0.651904, 0.346625, 16.108, 1.19392, 2.29253, 2.29253, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108
7, -2.46595, -2.21736, -1.92764, -1.46742, -0.952256, -0.259109, 0.391479, 0.103797, -0.0139862, 1.08463, 1.26695, 0.796944, 1.77777, 2.87639, 2.87639, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919
8, -2.13311, -2.0387, -1.92893, -1.40326, -1.46663, -0.824776, -0.935124, -0.164418, 0.0506931, 0.561519, 1.19013, 2.17096, 3.26957, 0.966984, 17.0851, 2.57642, 17.0851, 1.88327, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851
9, -2.55542, -2.15526, -1.98242, -1.30796, -1.00786, -0.784714, 0.378437, 0.378437, 0.196115, 1.98787, 1.98787, 1.98787, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034
10, -2.63926, -2.51273, -1.83344, -1.16745, -0.36097, -0.086533, 0.372999, 0.911996, 1.75929, 1.47161, 16.6734, 2.85791, 2.85791, 2.85791, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734
11, -2.5277, -2.5141, -1.59666, -1.28391, -0.708543, -0.402169, 0.134136, 0.102387, 0.795535, 1.62221, 2.46951, 2.87498, 1.95869, 1.3709, 3.56812, 3.56812, 3.56812, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836
12, -2.41309, -1.82222, -1.41675, -0.833954, -0.84877, -1.44145, -1.86037, -0.706799, 0.0749013, 1.98444, 2.27213, 17.1862, 3.37074, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862
13, -2.54328, -2.47943, -1.60615, -0.913007, -1.40255, -0.741156, 0.421995, 1.33829, 1.33829, 1.33829, 15.8469, 15.8469, 15.8469, 2.03143, 15.8469, 2.03143, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469
14, -2.32496, -2.33377, -1.99202, -1.40423, -1.03156, -0.893406, -0.370158, 1.70928, 0.322989, 1.01614, 2.40243, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179, 16.2179
15, -2.06087, -2.09164, -1.73062, -1.75213, -1.61555, -1.12086, -0.466931, -0.0992066, 0.711724, 0.306259, 1.40487, 1.40487, 2.09802, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135, 15.9135
16, -2.26516, -2.03065, -1.75245, -1.55492, -1.00103, -0.939157, -0.644357, -0.224503, 0.513096, 0.713767, -0.307885, 0.513096, 0.713767, 2.91099, 16.7265, 1.5247, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265, 16.7265
17, -2.34228, -2.24157, -1.81941, -1.35143, -1.13631, -0.80781, -0.315334, -0.0575045, -0.114663, 0.696267, 0.696267, 1.6771, 2.77571, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912, 16.5912
18, -2.60797, -2.3491, -1.56065, -1.04982, -1.12986, -0.174353, 0.0487903, 0.741937, 0.741937, 0.336472, 0.741937, 1.43508, 15.2506, 1.43508, 15.2506, 15.2506, 0.741937, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506, 15.2506
19, -2.52783, -2.14316, -1.9231, -1.1827, -1.24522, -0.74444, -0.0512932, -0.313657, 0.864998, 16.0668, 0.864998, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668, 16.0668
20, -2.81532, -2.50783, -1.31124, -0.661266, -0.387571, -0.00950447, -0.0621482, 0.269209, 0.605681, 2.21512, 1.99198, 2.21512, 2.21512, 2.90827, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169, 17.4169
21, -1.54443, -1.41728, -1.12393, -1.34707, -1.29098, -1.1464, -0.866101, -0.836248, -0.707036, -0.112329, -0.517794, -0.230112, -0.335473, 0.0212022, -0.0477906, 0.463035, 0.463035, 0.357674, 1.56165, 2.66026, 0.8685, 2.66026, 16.4758, 2.66026, 1.96711, 16.4758, 2.66026, 16.4758, 1.96711, 16.4758, 1.96711, 16.4758, 16.4758, 16.4758, 16.4758, 16.4758, 16.4758, 16.4758, 16.4758, 16.4758
22, -1.54588, -1.3535, -0.747369, -1.3535, -1.03505, -1.32273, -0.948039, -0.69021, -0.801436, -0.565047, -0.801436, -0.496054, -0.159582, -0.421946, 0.533565, 0.756709, -0.159582, 1.04439, 2.143, 1.04439, 2.143, 15.9585, 2.143, 15.9585, 1.44986, 15.9585, 15.9585, 15.9585, 1.44986, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585, 15.9585
23, -1.20777, -1.41256, -1.20777, -1.06116, -1.48402, -1.06116, -1.0071, -1.06116, -0.41931, -0.41931, -0.681675, -0.41931, -0.681675, 0.273837, 0.0915152, 0.0915152, 0.273837, 0.784662, 0.49698, 15.6988, 15.6988, 1.88327, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 1.19013, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988, 15.6988
24, -1.45625, -1.31107, -1.53421, -1.10343, -1.10343, -1.06421, -1.5089, -0.841067, -0.735707, -0.24323, -0.410284, 0.208755, -0.0425596, 0.362906, 0.208755, 0.768371, 0.768371, 1.05605, 1.46152, -0.24323, 0.545227, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702, 15.9702
25, -1.44513, -1.10866, -0.597837, -1.44513, -0.885519, -0.885519, -0.597837, 0.500776, -0.885519, -1.69645, -0.597837, -0.192372, 0.500776, -0.885519, -0.597837, 0.500776, -0.192372, 14.3163, -0.597837, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163, 14.3163
26, -1.51413, -1.43075, -1.76099, -1.59109, -1.38629, -0.597837, -0.374693, -0.780158, 0.0953103, -0.597837, -0.0870113, 0.0953103, 0.318454, -0.374693, 0.0953103, -0.241162, 15.5203, 15.5203, 1.0116, 1.70475, 0.606136, 15.5203, 1.70475, 1.0116, 15.5203, 15.5203, 1.0116, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203, 15.5203
27, -1.20617, -1.55757, -1.37524, -1.25746, -1.20617, -1.30625, -0.787458, -1.25746, -0.826679, -1.12393, -0.341171, -0.341171, 0.128833, 0.485508, 1.33281, 0.485508, 1.04512, 2.43142, 1.04512, 16.2469, 1.73827, 2.43142, 2.43142, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469, 16.2469
28, -0.929397, -1.08355, -1.00944, -1.38893, -1.2777, -0.747075, -0.929397, -0.795866, -0.886837, -0.390401, -0.0539283, -0.641715, -0.641715, -0.523932, -0.149238, -0.23625, -0.459393, -0.390401, 1.15004, 16.0642, 16.0642, 1.55551, 16.0642, 0.639219, 16.0642, 2.24866, 16.0642, 16.0642, 16.0642, 16.0642, 2.24866, 16.0642, 16.0642, 16.0642, 2.24866, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642
29, -0.338975, -1.14991, -0.898591, -1.14991, -0.898591, -1.72527, -1.35058, -0.562119, -1.14991, -0.562119, -0.562119, -0.562119, -0.338975, -0.338975, -0.74444, 1.04732, 0.354172, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 1.04732, 14.8628, -0.0512931, 14.8628, 1.04732, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628, 14.8628
30, -0.644357, -1.21234, -1.50002, -1.44873, -1.06924, -1.21234, -0.855666, -0.755583, -0.583732, -1.10698, -0.376093, -0.00836821, -0.450201, 0.109415, -0.376093, 0.802562, 0.802562, 0.579418, 1.09024, 2.18886, 1.49571, 0.579418, 1.09024, 0.397097, 1.49571, 16.0044, 2.18886, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044, 16.0044
31, -1.54546, -1.4401, -1.32231, -1.28595, -1.35741, -1.05816, -1.01053, -0.388005, -0.664258, -0.592799, -0.241401, 0.0639804, -0.432457, -0.292695, -0.341485, 0.138088, 0.400453, 0.505813, 1.31674, 2.70304, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185, 16.5185
32, -1.5061, -1.47331, -1.25016, -1.29098, -1.11663, -1.01655, -1.11663, -1.11663, -0.557015, -0.637058, -0.0180184, -0.780158, 0.318454, 0.318454, 1.23474, 0.541597, -0.0180184, 0.829279, 1.92789, 1.23474, 1.92789, 15.7434, 1.92789, 15.7434, 1.92789, 0.541597, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434, 15.7434
33, -1.36828, -1.60944, -1.04982, -0.0689927, -0.356675, -0.579818, -1.04982, -1.36828, -1.36828, -0.916291, -0.0689927, -0.0689927, 0.336472, 0.336472, -0.0689927, -0.579818, -0.579818, 0.336472, 14.8451, 14.8451, 0.336472, 1.02962, 1.02962, 14.8451, 1.02962, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451, 14.8451
34, -0.898075, -1.24292, -1.46606, -1.39707, -1.28374, -0.629811, -1.0093, -1.24292, -0.837451, -0.262086, -0.703919, -0.462757, -0.549769, -0.462757, -0.367447, 0.143379, 1.93514, 1.93514, 1.24199, 1.24199, 1.93514, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 1.93514, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506
35, -1.335, -1.56862, -1.64866, -1.02962, -0.875469, -0.788457, -0.955511, -0.470004, -0.955511, -0.587787, 0.510826, 0.223144, 7.5e-08, -0.182321, 0.510826, 0.510826, 0.223144, 0.916291, 0.510826, 0.223144, -0.470004, 0.510826, 1.60944, 15.4249, 15.4249, 15.4249, 15.4249, 15.4249, 15.4249, 15.4249, 15.4249, 1.60944, 15.4249, 15.4249, 1.60944, 15.4249, 15.4249, 15.4249, 15.4249, 15.4249
36, -1.14009, -1.25787, -1.14009, -1.05307, -1.09753, -1.39602, -1.00655, -1.22013, 0.0920582, -0.852403, -0.795245, -0.264617, -0.73462, 0.0920582, 0.42853, 2.03797, 0.246209, 0.0920582, 0.42853, 15.8535, 1.34482, 0.939356, 15.8535, 1.34482, 15.8535, 1.34482, 15.8535, 2.03797, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535, 15.8535
37, -1.65287, -1.7662, -1.40441, -1.89973, -0.95972, -0.736577, -0.785367, -0.574058, -0.379902, -0.513433, -0.0434295, 0.467396, -0.225751, 0.061931, 0.467396, 0.649718, 0.179714, 2.25916, 2.25916, 1.56601, 2.25916, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747, 16.0747
38, -2.12026, -2.05127, -0.510825, -1.81011, 0.587787, -1.02165, -1.20397, 0.587787, -0.798507, 0.587787, 0.587787, 0.587787, 0.587787, -0.10536, -0.10536, 14.4033, -0.10536, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, -0.10536, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033, 14.4033
39, -1.16315, -1.56862, -1.42551, -1.21194, -1.00063, -0.940007, -0.806476, -0.940007, -1.05779, -0.565314, -0.565314, -0.732368, 0.0408221, -0.364643, -0.24686, 1.13943, 0.223144, 1.13943, 0.223144, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481
40, -1.39256, -1.37151, -1.07671, -1.56441, -1.21024, -0.8172, -0.888659, -1.15895, -1.07671, -0.699417, -0.612405, -0.465802, -0.0863123, 0.176052, 0.281412, 0.532727, 0.869199, 1.09234, 2.47864, 1.78549, 1.78549, 16.2941, 16.2941, 2.47864, 16.2941, 16.2941, 2.47864, 16.2941, 16.2941, 16.2941, 2.47864, 16.2941, 16.2941, 16.2941, 16.2941, 16.2941, 16.2941, 16.2941, 16.2941, 16.2941
41, -1.60331, -1.69713, -1.40446, -1.66682, -1.72654, -1.20601, -0.82464, -0.82464, -0.750532, -0.536958, 0.109669, 0.715805, 1.40895, 1.12127, 1.40895, 1.40895, 1.81442, 16.3231, 1.81442, 2.50756, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231, 16.3231
42, -1.63315, -1.49962, -1.16315, -1.66393, -1.88099, -1.38629, -1.25846, -0.940007, -0.652325, 0.223144, 0.223144, 1.13943, 0.223144, 0.733969, 1.83258, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481, 15.6481
43, -1.04982, -1.32854, -1.04982, -1.58882, -1.81196, -1.08491, -1.27297, -1.21413, -1.1516, -0.71335, 0.336472, 0.202941, 0.896088, -0.115513, 0.896088, 0.896088, 2.28238, 2.28238, 16.0979, 16.0979, 16.0979, 16.0979, 1.58924, 2.28238, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979, 16.0979
44, -1.00103, -1.18335, -1.43929, -1.56065, -1.93713, -1.7665, -1.14079, -0.490206, -0.307885, 0.385262, -0.490206, 0.0487902, 0.608406, 0.608406, 1.30155, 1.30155, 1.30155, 1.30155, 1.30155, 1.9947, 1.30155, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102, 15.8102
45, -1.20397, -1.45529, -1.3375, -2.03065, -1.89712, 0.0487905, -0.8675, -0.8675, -1.04982, -0.356675, 14.5574, 0.0487905, -0.8675, 14.5574, 0.741938, 14.5574, 14.5574, 0.741938, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574, 14.5574
46, -2.05746, -1.85267, -1.75736, -1.15952, -1.15952, -1.32658, -0.707536, -0.707536, -0.0143887, -0.14792, -0.0143887, 0.139762, 0.832909, 1.23837, 0.832909, 1.93152, 15.747, 1.23837, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 1.93152, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747, 15.747
47, -1.56862, -1.76929, -1.73851, -1.73851, -1.60498, -1.45083, -1.16315, -0.575364, -0.35222, 1.72722, 0.340927, 1.72722, 0.628609, 1.72722, 1.72722, 15.5427, 1.72722, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 1.72722, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427, 15.5427
48, -1.35201, -1.44095, -1.39747, -1.52263, -1.32847, -1.14615, -1.17432, -0.886642, -0.535244, -0.726299, -0.535244, -0.586537, -0.481177, 0.0112996, 1.71605, 1.71605, 1.31058, 16.2247, 1.71605, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247, 16.2247
49, -1.55867, -1.1532, -0.865518, -1.63871, -2.06949, -1.55867, -1.27098, -0.683197, 0.233094, -0.683197, 0.926241, -0.172371, 0.926241, -0.460053, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418, 14.7418
50, -1.27761, -1.53712, -1.76596, -1.07281, -1.27761, -1.27761, -1.38297, -0.977501, -0.754358, -0.814982, -0.0612107, -0.466676, 0.919619, 1.32508, 2.01823, 0.919619, 0.408793, 2.01823, 15.8337, 15.8337, 2.01823, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337
51, -1.44546, -1.78496, -1.58429, -1.78496, -1.2329, -0.686352, -1.2329, -1.06105, -0.160259, -0.428523, -0.160259, 1.0184, 0.00679509, 0.45878, 2.40469, 1.30608, 1.71154, 1.71154, 0.45878, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202, 16.2202
52, -1.84013, -1.56472, -1.94549, -1.28514, -1.25235, -0.895671, -1.07002, -0.895671, -0.684362, 0.0694095, -0.153734, 0.762557, -0.249044, 1.4557, 0.762557, 2.14885, 2.14885, 15.9644, 15.9644, 2.14885, 2.14885, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644, 15.9644
53, -1.99428, -1.81196, -1.66886, -1.04982, -1.81196, -0.71335, -0.71335, 0.202941, -1.4065, 0.202941, 0.896088, 0.202941, 0.202941, 14.7116, 0.896088, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116, 14.7116
54, -1.33275, -1.92054, -1.10961, -1.5559, -1.33275, -1.04507, -1.04507, -0.639606, -1.10961, -0.821928, -0.639606, 0.969832, -0.128781, 0.969832, 1.66298, 0.0535409, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785, 15.4785
55, -1.28374, -1.46606, -1.5306, -1.28374, -1.3607, -0.955234, -1.32296, -1.3607, -0.772912, -0.837451, -0.772912, -0.262086, 0.548844, 1.24199, 15.7506, 1.93514, 1.24199, 0.836526, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506, 15.7506
56, -1.50766, -1.56323, -1.38629, -1.3535, -1.28451, -1.2104, -1.3535, -0.896746, -0.591364, -0.0317486, -0.517256, -0.437214, -0.0317486, 0.661399, 0.949081, 0.438255, 0.661399, 2.04769, 15.8632, 15.8632, 2.04769, 15.8632, 2.04769, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632, 15.8632
57, -1.55452, -1.67588, -1.6469, -1.25603, -1.48783, -1.45274, -0.893124, -0.759592, -0.199976, 0.270027, -0.199976, -0.066445, 0.270027, 0.493171, 1.18632, 0.780853, 1.87947, 1.18632, 1.18632, 1.87947, 15.695, 15.695, 15.695, 1.18632, 15.695, 1.18632, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695, 15.695
