AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
17, 2, -1.87546, -1.99736, -1.84296, -1.60293, -1.34544, -1.16926, -0.845322, -0.6057, -0.0999895, 0.295323, 0.486777, 1.2463, 1.46455, 1.84592, 2.04263, 2.08708, 3.23222, 3.09868, 3.38637, 3.23222, 4.07951, 4.48498, 4.48498, 4.48498, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936, 18.9936
17, 3, -1.62878, -1.64751, -1.64751, -1.50831, -1.36968, -1.25098, -1.0499, -0.898373, -0.650046, -0.362364, -0.0218566, 0.179513, 0.378903, 0.842355, 1.11522, 1.50609, 1.95601, 2.56214, 2.84982, 2.96761, 4.13076, 4.13076, 4.64158, 5.74019, 5.74019, 5.74019, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557, 19.5557
18, 1, -1.59403, -1.68934, -1.59099, -1.56638, -1.24167, -1.05243, -0.936598, -0.623248, -0.272271, -0.338229, 0.144623, 0.144623, 0.541504, 0.621547, 0.83777, 0.909229, 0.909229, 1.06957, 1.20933, 1.56601, 1.56601, 1.72016, 1.72016, 1.90248, 1.90248, 2.25916, 2.41331, 2.81877, 2.00784, 3.51192, 3.51192, 3.51192, 2.59563, 4.20507, 3.51192, 3.51192, 3.51192, 3.10645, 18.0206, 18.0206
18, 2, -1.45172, -1.51626, -1.62207, -1.63404, -1.42273, -1.24628, -0.994964, -0.719735, -0.581951, 0.0241844, 0.00356507, 0.257799, 0.429649, 0.950946, 0.717332, 1.33044, 1.18734, 1.41048, 1.00501, 1.33044, 2.10363, 2.28595, 1.81594, 2.10363, 2.79677, 2.10363, 2.50909, 2.50909, 3.20224, 17.7109, 3.20224, 3.89539, 2.79677, 17.7109, 3.20224, 17.7109, 17.7109, 3.89539, 17.7109, 3.89539
18, 3, -1.16107, -1.19517, -1.31109, -1.14944, -1.31605, -1.21179, -1.11373, -1.05121, -0.717311, -0.462128, -0.389807, 0.0409758, -0.0331321, 0.328658, 0.354633, 0.660015, 0.696383, 1.21963, 0.996487, 0.901177, 1.21963, 1.15901, 0.773344, 1.59432, 1.42727, 1.50731, 1.79499, 1.68963, 2.38278, 2.60593, 1.68963, 2.04631, 2.60593, 2.89361, 2.60593, 2.89361, 2.60593, 2.38278, 3.99222, 3.99222
19, 1, -1.40777, -1.4863, -1.5087, -1.46028, -1.36435, -1.17105, -0.992448, -0.793151, -0.58202, -0.420378, -0.132696, -0.00166806, 0.149155, 0.403797, 0.55462, 0.55462, 1.03868, 1.32009, 1.18033, 1.39805, 1.67676, 1.2713, 1.91792, 1.71313, 2.17575, 2.30092, 2.30092, 2.70638, 2.92953, 3.39953, 5.00897, 4.31582, 5.00897, 18.8245, 5.00897, 18.8245, 18.8245, 4.31582, 18.8245, 18.8245
19, 2, -1.39751, -1.5901, -1.61462, -1.50003, -1.46591, -1.33733, -1.03449, -0.803685, -0.516003, -0.333681, 0.0565164, 0.177144, 0.324198, 0.950334, 0.861781, 1.20165, 1.25044, 1.60711, 1.57202, 2.23127, 1.8948, 2.45441, 2.23127, 2.16673, 2.16673, 2.74209, 3.32988, 3.55302, 2.85988, 3.32988, 4.93932, 3.55302, 4.93932, 4.24617, 18.7548, 18.7548, 18.7548, 4.93932, 18.7548, 4.93932
19, 3, -1.2079, -1.16868, -1.2079, -1.29775, -1.16868, -1.19283, -1.07802, -0.891312, -0.802433, -0.657852, -0.48438, -0.411288, -0.140834, 0.00609649, 0.249223, 0.407971, 0.706464, 0.863033, 0.677891, 0.880127, 0.915219, 1.44406, 1.41421, 1.89605, 2.10736, 2.10736, 2.23252, 2.30151, 2.86113, 2.37562, 3.84196, 3.14881, 3.33113, 3.84196, 4.24742, 3.84196, 4.94057, 4.24742, 18.7561, 4.94057
20, 1, -2.25984, -2.17881, -1.77294, -1.48485, -1.01985, -0.730878, -0.439753, -0.132728, 0.0710724, 0.465109, 0.605155, 0.981633, 1.03042, 1.27888, 1.70377, 1.92202, 2.2344, 2.863, 3.07064, 3.2377, 3.84383, 4.2493, 19.4511, 19.4511, 19.4511, 5.63559, 5.63559, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511, 19.4511
20, 2, -2.35876, -2.27751, -1.81167, -1.39514, -0.963538, -0.696317, -0.270391, 0.149716, 0.399767, 0.672411, 0.99211, 1.39075, 1.61901, 1.80133, 1.91527, 2.57452, 2.67988, 2.79766, 2.97998, 3.08534, 3.49081, 3.67313, 4.58942, 3.77849, 5.28257, 5.28257, 5.97572, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912, 19.7912
20, 3, -1.79032, -1.83157, -1.7395, -1.57867, -1.35425, -1.05414, -0.798137, -0.577218, -0.340088, -0.111649, -0.0334479, 0.381633, 0.617538, 0.854539, 1.01843, 1.57122, 1.57122, 1.8749, 2.21784, 2.91099, 3.11166, 2.91099, 3.11166, 5.30889, 3.92259, 19.1244, 4.61574, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244, 19.1244
