AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
6, 3, -1.34455, -1.34709, -1.32395, -1.26411, -1.28461, -1.15993, -1.01036, -0.962374, -0.859568, -0.737985, -0.603117, -0.443007, -0.17603, 0.00301832, 0.275565, 0.469108, 0.894298, 1.21574, 1.42932, 1.69236, 2.30888, 2.48792, 2.95401, 3.37523, 4.34031, 4.81031, 5.03346, 5.03346, 6.41975, 6.41975, 6.41975, 20.2353, 20.2353, 20.2353, 6.41975, 20.2353, 20.2353, 20.2353, 20.2353, 20.2353
7, 1, -1.67662, -1.66269, -1.60368, -1.55455, -1.40369, -1.20703, -1.00051, -0.832522, -0.595478, -0.31819, -0.0597274, 0.26609, 0.44476, 0.813836, 1.0755, 1.38627, 1.76864, 2.1605, 2.51333, 2.85365, 2.99883, 3.63136, 3.79042, 4.59277, 5.21181, 5.07827, 6.46457, 6.0591, 6.46457, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732, 20.9732
7, 2, -1.56434, -1.57566, -1.56382, -1.42874, -1.32581, -1.21474, -1.08225, -0.87326, -0.730239, -0.597899, -0.287744, -0.0263069, 0.332091, 0.555234, 0.952116, 1.18169, 1.52463, 1.65817, 2.2884, 2.50546, 2.66977, 4.05606, 4.61568, 4.39253, 5.30882, 19.8175, 5.30882, 6.00197, 6.00197, 19.8175, 19.8175, 19.8175, 19.8175, 19.8175, 6.00197, 19.8175, 19.8175, 19.8175, 19.8175, 19.8175
7, 3, -1.37137, -1.35669, -1.34828, -1.26132, -1.22156, -1.13103, -1.05061, -0.998496, -0.859991, -0.682335, -0.532556, -0.360109, -0.149733, 0.0031743, 0.227677, 0.504983, 0.8041, 1.02846, 1.35108, 1.43848, 1.94475, 2.39673, 2.7332, 3.69205, 3.69205, 4.1195, 4.63032, 5.03579, 6.1344, 5.44125, 5.72894, 6.82755, 20.6431, 20.6431, 20.6431, 20.6431, 20.6431, 20.6431, 20.6431, 20.6431
8, 1, -2.59907, -2.41936, -1.95477, -1.31901, -0.661109, -0.22235, 0.466898, 1.22018, 1.58516, 2.55024, 3.07154, 3.81875, 3.53107, 4.22421, 6.01597, 6.01597, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315, 19.8315
8, 2, -2.83461, -2.43465, -1.79339, -0.984502, -0.103724, 0.484554, 0.805223, 1.3833, 1.81074, 2.57288, 2.53779, 2.64699, 3.6025, 3.50719, 5.21194, 5.90509, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206, 19.7206
8, 3, -2.01369, -2.09623, -1.9528, -1.71859, -1.45773, -1.06739, -0.658745, -0.217266, 0.460474, 1.02957, 1.62845, 2.26863, 3.06186, 3.90624, 4.70702, 5.49548, 6.41177, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136, 21.6136
9, 1, -1.50484, -1.63239, -1.58634, -1.52627, -1.3814, -1.18725, -1.12334, -0.910616, -0.644162, -0.508286, -0.276892, 0.138982, 0.440208, 0.6189, 1.04634, 1.45181, 1.99081, 2.25032, 2.32728, 3.24357, 2.9812, 3.24357, 3.46671, 3.93672, 5.54615, 4.44754, 5.54615, 19.3617, 19.3617, 5.54615, 5.54615, 19.3617, 5.54615, 19.3617, 19.3617, 19.3617, 19.3617, 19.3617, 19.3617, 19.3617
9, 2, -1.55777, -1.73925, -1.5964, -1.61279, -1.50061, -1.41583, -1.04188, -0.799946, -0.386909, -0.201325, 0.221945, 0.472405, 0.577765, 1.29689, 1.65106, 1.62637, 1.81358, 2.20444, 2.85503, 2.94204, 3.54818, 2.77499, 2.70088, 4.24133, 3.7305, 19.1554, 4.64679, 19.1554, 19.1554, 5.33994, 5.33994, 19.1554, 19.1554, 19.1554, 19.1554, 19.1554, 19.1554, 19.1554, 19.1554, 19.1554
9, 3, -1.31551, -1.37507, -1.36177, -1.35729, -1.28886, -1.20892, -1.17788, -1.0354, -0.873743, -0.679717, -0.572638, -0.324302, 0.0585848, 0.294512, 0.564802, 0.816117, 1.1735, 1.38439, 1.61846, 2.03498, 1.98619, 2.57397, 2.63281, 3.64442, 3.73143, 4.51988, 4.51988, 4.51988, 6.12932, 6.12932, 19.9448, 19.9448, 6.12932, 19.9448, 19.9448, 19.9448, 19.9448, 19.9448, 19.9448, 19.9448
