AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
6, 3, -1.38975, -1.3784, -1.37031, -1.29729, -1.29218, -1.15509, -1.00791, -0.950867, -0.850187, -0.716331, -0.609232, -0.418177, -0.131664, 0.0810204, 0.336472, 0.556821, 1.13167, 1.33234, 1.60997, 1.88441, 2.46172, 2.79197, 3.36251, 3.73023, 4.31802, 5.23431, 5.23431, 4.82885, 5.92746, 19.743, 5.92746, 19.743, 19.743, 19.743, 5.92746, 19.743, 19.743, 19.743, 19.743, 19.743
7, 1, -1.66352, -1.63872, -1.59379, -1.57564, -1.43008, -1.21938, -0.998725, -0.846987, -0.610959, -0.313825, -0.000491694, 0.2668, 0.402168, 0.808684, 1.05416, 1.43769, 1.82265, 2.23685, 2.44045, 3.1336, 2.87871, 3.52306, 3.62315, 5.18129, 5.87444, 5.46897, 6.56759, 6.56759, 6.56759, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831, 20.3831
7, 2, -1.53565, -1.58317, -1.56851, -1.41942, -1.32153, -1.2222, -1.1206, -0.928404, -0.773377, -0.609293, -0.237007, -0.0658118, 0.388547, 0.682787, 1.03696, 1.17049, 1.61232, 1.68132, 2.28349, 2.6464, 2.93408, 19.2345, 5.41899, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345, 5.41899, 19.2345, 19.2345, 19.2345, 19.2345, 19.2345
7, 3, -1.35503, -1.36385, -1.39272, -1.26439, -1.24259, -1.09247, -1.06455, -1.02631, -0.850259, -0.667285, -0.535571, -0.344045, -0.161994, 0.0307717, 0.279839, 0.50868, 0.914146, 1.13729, 1.3486, 1.45723, 1.89181, 2.36943, 2.89396, 3.77635, 4.06403, 4.18181, 4.65182, 5.16264, 5.56811, 5.56811, 5.56811, 6.26125, 20.0768, 20.0768, 20.0768, 20.0768, 20.0768, 20.0768, 20.0768, 20.0768
8, 1, -2.57223, -2.46082, -2.02781, -1.30931, -0.500334, -0.174333, 0.636597, 1.39428, 1.79975, 2.92368, 4.79548, 3.87919, 4.39002, 4.79548, 19.3041, 5.48863, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041, 19.3041
8, 2, -2.83491, -2.44674, -1.87601, -0.888995, 0.0112046, 0.610323, 0.89516, 1.6113, 2.1144, 2.80755, 3.42659, 2.88759, 3.9862, 3.76306, 4.67935, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188, 19.188
8, 3, -2.00279, -2.07847, -1.96395, -1.73048, -1.47769, -1.08185, -0.674235, -0.246247, 0.53919, 1.11786, 1.6955, 2.47599, 3.16914, 3.91107, 4.91437, 5.36636, 7.31227, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278, 21.1278
9, 1, -1.51566, -1.6423, -1.60997, -1.54658, -1.38504, -1.16369, -1.14339, -0.931011, -0.592283, -0.584346, -0.295335, 0.204908, 0.51029, 0.678427, 1.20344, 1.76305, 2.30205, 2.37616, 3.14935, 4.24796, 3.14935, 4.24796, 18.7566, 3.84249, 18.7566, 4.24796, 4.94111, 18.7566, 18.7566, 4.94111, 4.94111, 18.7566, 4.94111, 18.7566, 18.7566, 18.7566, 18.7566, 18.7566, 18.7566, 18.7566
9, 2, -1.60985, -1.74502, -1.54003, -1.58149, -1.53118, -1.48939, -1.06897, -0.786923, -0.487941, -0.0672087, 0.300516, 0.595633, 0.705981, 1.13676, 1.85589, 1.70928, 1.90995, 2.09228, 3.41403, 3.70171, 4.80033, 3.41403, 3.19089, 4.80033, 4.80033, 18.6158, 4.80033, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158, 18.6158
9, 3, -1.31685, -1.39849, -1.40031, -1.37357, -1.2504, -1.18713, -1.23442, -1.06001, -0.885842, -0.674801, -0.642325, -0.325084, 0.125378, 0.360095, 0.734308, 1.02713, 1.39715, 1.71002, 1.68982, 2.04649, 2.20064, 2.76863, 2.6574, 4.50323, 3.9924, 5.60184, 4.90869, 5.60184, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174, 19.4174
